nome,height
Precious Achiuwa,6-8
Steven Adams,6-11
Bam Adebayo,6-9
Ochai Agbaji,6-5
Santi Aldama,7-0
Trey Alexander,6-5
Nickeil Alexander-Walker,6-5
Grayson Allen,6-3
Jarrett Allen,6-9
Jose Alvarado,6-0
Kyle Anderson,6-8
Alex Antetokounmpo,6-8
Giannis Antetokounmpo,6-11
Thanasis Antetokounmpo,6-7
OG Anunoby,6-7
Deni Avdija,6-8
Deandre Ayton,7-0
Marvin Bagley III,6-10
Ace Bailey,6-9
Patrick Baldwin Jr.,7-0
LaMelo Ball,6-7
Paolo Banchero,6-10
Desmond Bane,6-6
Dalano Banton,6-8
Dominick Barlow,6-9
Harrison Barnes,6-7
Scottie Barnes,6-8
Brooks Barnhizer,6-5
RJ Barrett,6-6
Charles Bassey,6-10
Jamison Battle,6-7
Nicolas Batum,6-7
Bradley Beal,6-4
MarJon Beauchamp,6-7
Joan Beringer,6-11
Saddiq Bey,6-8
Goga Bitadze,6-11
Bismack Biyombo,6-8
Anthony Black,6-7
Leaky Black,6-6
Bogdan Bogdanović,6-5
Adem Bona,6-10
Devin Booker,6-5
Jamaree Bouyea,6-2
Tony Bradley,6-10
Christian Braun,6-6
Koby Brea,6-5
Mikal Bridges,6-6
Miles Bridges,6-7
Dillon Brooks,6-7
Johni Broome,6-9
Bruce Brown,6-4
Jaylen Brown,6-6
Kobe Brown,6-7
Jalen Brunson,6-2
Carter Bryant,6-6
Thomas Bryant,6-9
Jimmy Butler III,6-6
Matas Buzelis,6-8
Jamal Cain,6-7
Kentavious Caldwell-Pope,6-5
Toumani Camara,6-7
Clint Capela,6-10
Dylan Cardwell,6-10
Branden Carlson,7-0
Bub Carrington,6-4
Devin Carter,6-2
Jevon Carter,6-0
Wendell Carter Jr.,6-10
Alex Caruso,6-5
Stephon Castle,6-6
Colin Castleton,6-10
Julian Champagnie,6-7
Justin Champagnie,6-6
Cam Christie,6-5
Max Christie,6-5
Moussa Cisse,6-11
Sidy Cissoko,6-6
Jaylen Clark,6-5
Brandon Clarke,6-8
Jordan Clarkson,6-5
Nic Claxton,6-11
Walter Clayton Jr.,6-4
Nique Clifford,6-5
Donovan Clingan,7-2
Noah Clowney,6-10
Amir Coffey,6-7
Isaiah Collier,6-4
John Collins,6-9
Zach Collins,6-9
Mike Conley,6-1
Pat Connaughton,6-5
Sharife Cooper,6-0
Bilal Coulibaly,6-7
Cedric Coward,6-5
Isaiah Crawford,6-6
LJ Cryer,6-0
Cade Cunningham,6-6
Seth Curry,6-1
Stephen Curry,6-2
Pacôme Dadiet,6-9
Dyson Daniels,6-7
Anthony Davis,6-10
JD Davison,6-1
DeMar DeRozan,6-6
RayJ Dennis,6-1
Donte DiVincenzo,6-4
Moussa Diabaté,6-10
Mohamed Diawara,6-9
Gradey Dick,6-7
Hunter Dickinson,7-1
Ousmane Dieng,6-9
Rob Dillingham,6-2
Luka Dončić,6-8
Luguentz Dort,6-4
Ayo Dosunmu,6-4
Andre Drummond,6-11
Kris Dunn,6-3
Ryan Dunn,6-7
Kevin Durant,6-11
Jalen Duren,6-10
Egor Dëmin,6-8
Tari Eason,6-8
Zach Edey,7-3
VJ Edgecombe,6-4
Anthony Edwards,6-4
Justin Edwards,6-7
Keon Ellis,6-4
Joel Embiid,7-0
Tristan Enaruna,6-7
Noa Essengue,6-8
Tyson Etienne,6-0
Drew Eubanks,6-10
Tosan Evbuomwan,6-8
Jeremiah Fears,6-3
Kyle Filipowski,6-11
Dorian Finney-Smith,6-7
Cooper Flagg,6-9
Rasheer Fleming,6-9
Simone Fontecchio,6-7
De'Aaron Fox,6-3
Enrique Freeman,6-9
Johnny Furphy,6-8
Daniel Gafford,6-10
Myron Gardner,6-5
Darius Garland,6-1
Luka Garza,6-10
Keyonte George,6-4
Kyshawn George,6-8
Paul George,6-8
Taj Gibson,6-9
Josh Giddey,6-7
Keshon Gilbert,6-4
Shai Gilgeous-Alexander,6-6
Anthony Gill,6-7
Collin Gillespie,6-1
Rudy Gobert,7-1
Vladislav Goldin,7-0
Hugo González,6-6
Jordan Goodwin,6-3
Aaron Gordon,6-8
Jerami Grant,6-7
Hayden Gray,6-4
AJ Green,6-4
Draymond Green,6-6
Jalen Green,6-4
Javonte Green,6-5
Jeff Green,6-8
Josh Green,6-6
Quentin Grimes,6-5
Mouhamadou Gueye,6-9
Mouhamed Gueye,6-11
Rui Hachimura,6-8
Tyrese Haliburton,6-5
PJ Hall,6-8
Tim Hardaway Jr.,6-5
James Harden,6-5
Jaden Hardy,6-3
Elijah Harkless,6-3
Dylan Harper,6-5
Ron Harper Jr.,6-5
Gary Harris,6-4
Tobias Harris,6-8
Josh Hart,6-5
Isaiah Hartenstein,7-0
Sam Hauser,6-7
Jordan Hawkins,6-5
Jaxson Hayes,7-0
Killian Hayes,6-4
Scoot Henderson,6-3
Taylor Hendricks,6-9
Chucky Hepburn,6-0
Tyler Herro,6-5
Buddy Hield,6-4
Haywood Highsmith,6-5
Blake Hinson,6-8
Aaron Holiday,6-0
Jrue Holiday,6-4
Ronald Holland II,6-8
DaRon Holmes II,6-9
Chet Holmgren,7-1
Al Horford,6-8
Jett Howard,6-8
Kevin Huerter,6-6
Jay Huff,7-1
Ariel Hukporti,7-0
De'Andre Hunter,6-7
CJ Huntley,6-11
Bones Hyland,6-2
Oso Ighodaro,6-11
Joe Ingles,6-8
Brandon Ingram,6-8
Harrison Ingram,6-5
Kyrie Irving,6-2
Jonathan Isaac,6-10
GG Jackson,6-9
Isaiah Jackson,6-8
Quenton Jackson,6-4
Andre Jackson Jr.,6-6
Jaren Jackson Jr.,6-10
Trayce Jackson-Davis,6-9
Kasparas Jakučionis,6-5
Bronny James,6-2
LeBron James,6-9
Sion James,6-5
Jaime Jaquez Jr.,6-6
Trey Jemison III,6-10
Daniss Jenkins,6-4
Ty Jerome,6-5
Isaiah Joe,6-4
AJ Johnson,6-5
Cameron Johnson,6-8
Chaney Johnson,6-7
Jalen Johnson,6-8
Keldon Johnson,6-6
Keshad Johnson,6-6
Tre Johnson,6-5
Nikola Jokić,6-11
Curtis Jones,6-3
Dillon Jones,6-5
Herbert Jones,6-7
Isaac Jones,6-8
Kam Jones,6-4
Spencer Jones,6-7
Tre Jones,6-1
Tyus Jones,6-0
David Jones Garcia,6-4
Derrick Jones Jr.,6-6
DeAndre Jordan,6-11
Nikola Jović,6-10
Ryan Kalkbrenner,7-1
Yuki Kawamura,5-7
Trevor Keels,6-3
Luke Kennard,6-5
Jayson Kent,6-8
Walker Kessler,7-2
Corey Kispert,6-6
Maxi Kleber,6-10
Dalton Knecht,6-6
Kon Knueppel,6-6
Tyler Kolek,6-2
Christian Koloko,6-11
John Konchar,6-5
Luke Kornet,7-1
Vít Krejčí,6-8
Jonathan Kuminga,6-7
Kyle Kuzma,6-8
Jake LaRavia,6-7
Zach LaVine,6-5
Jock Landale,6-11
Chaz Lanier,6-3
Pelle Larsson,6-5
A.J. Lawson,6-6
Caris LeVert,6-7
Kawhi Leonard,6-6
Malevy Leons,6-9
E.J. Liddell,6-6
Damian Lillard,6-2
Dereck Lively II,7-1
Isaiah Livers,6-6
Kevon Looney,6-9
Brook Lopez,7-1
Caleb Love,6-3
Kevin Love,6-10
Kyle Lowry,6-0
Khaman Maluach,7-1
Sandro Mamukelashvili,6-9
Terance Mann,6-6
Tre Mann,6-4
Lauri Markkanen,7-1
Naji Marshall,6-6
Alijah Martin,6-2
Caleb Martin,6-5
Tyrese Martin,6-6
Jahmai Mashack,6-4
Bennedict Mathurin,6-5
Karlo Matković,6-10
Tyrese Maxey,6-2
Chris Mañon,6-4
Bez Mbeng,6-4
Miles McBride,6-2
Jared McCain,6-3
Mac McClung,6-2
CJ McCollum,6-3
T.J. McConnell,6-1
Kevin McCullar Jr.,6-6
Jaden McDaniels,6-9
Doug McDermott,6-7
Bryce McGowens,6-6
Jordan McLaughlin,5-11
Liam McNeeley,6-7
De'Anthony Melton,6-2
Sam Merrill,6-4
Khris Middleton,6-7
Brandon Miller,6-7
Emanuel Miller,6-5
Jordan Miller,6-5
Leonard Miller,6-10
Riley Minix,6-7
Josh Minott,6-8
Yves Missi,6-11
Ajay Mitchell,6-4
Davion Mitchell,6-0
Donovan Mitchell,6-2
Evan Mobley,6-11
Jonathan Mogbo,6-9
Malik Monk,6-3
Moses Moody,6-5
Wendell Moore Jr.,6-5
Alex Morales,6-6
Ja Morant,6-2
Trey Murphy III,6-8
Dejounte Murray,6-4
Jamal Murray,6-4
Keegan Murray,6-8
Kris Murray,6-8
Collin Murray-Boyles,6-7
Svi Mykhailiuk,6-7
Pete Nance,6-9
Larry Nance Jr.,6-6
Andrew Nembhard,6-4
Ryan Nembhard,5-11
Aaron Nesmith,6-5
Asa Newell,6-10
Tristen Newton,6-5
Yanic Konan Niederhäuser,6-11
Zeke Nnaji,6-10
Jusuf Nurkić,6-11
Royce O'Neale,6-6
Josh Oduro,6-9
Josh Okogie,6-4
Onyeka Okongwu,6-10
Isaac Okoro,6-4
Lachlan Olbrich,6-8
Kelly Olynyk,7-0
Norchad Omier,6-7
Kelly Oubre Jr.,6-8
Gary Payton II,6-2
Micah Peavy,6-7
Sean Pedulla,6-1
Noah Penda,6-7
Taelon Peter,6-3
Julian Phillips,6-6
Jalen Pickett,6-2
Scotty Pippen Jr.,6-2
Daeqwon Plowden,6-4
Mason Plumlee,7-0
Brandin Podziemski,6-4
Jakob Poeltl,7-0
Jordan Poole,6-4
Craig Porter Jr.,6-1
Kevin Porter Jr.,6-5
Michael Porter Jr.,6-10
Bobby Portis,6-9
Kristaps Porziņģis,7-2
Quinten Post,7-0
Micah Potter,6-9
John Poulakidas,6-6
Drake Powell,6-5
Dwight Powell,6-10
Norman Powell,6-3
Taurean Prince,6-6
Payton Pritchard,6-1
Tyrese Proctor,6-4
Olivier-Maxence Prosper,6-7
Zyon Pullin,6-4
Derik Queen,6-9
Neemias Queta,7-0
Immanuel Quickley,6-2
Julius Randle,6-9
Maxime Raynaud,7-1
Austin Reaves,6-5
Paul Reed,6-9
Julian Reese,6-9
Antonio Reeves,6-5
Naz Reid,6-9
Will Richard,6-3
Nick Richards,6-11
Jase Richardson,6-1
Will Riley,6-9
Zaccharie Risacher,6-8
Duncan Robinson,6-7
Mitchell Robinson,7-0
David Roddy,6-5
Ryan Rollins,6-3
Rayan Rupert,6-7
D'Angelo Russell,6-3
Cormac Ryan,6-5
Domantas Sabonis,6-10
Tidjane Salaün,6-10
Kobe Sanders,6-8
Payton Sandfort,6-7
Gui Santos,6-7
Ben Saraf,6-6
Alex Sarr,7-0
Olivier Sarr,6-10
Marcus Sasser,6-1
Baylor Scheierman,6-6
Dennis Schröder,6-1
Alperen Sengun,6-11
Brice Sensabaugh,6-6
Collin Sexton,6-3
Landry Shamet,6-5
Terrence Shannon Jr.,6-6
Day'Ron Sharpe,6-10
Shaedon Sharpe,6-5
Jamal Shead,6-1
Ben Sheppard,6-6
Reed Sheppard,6-2
Max Shulga,6-4
Pascal Siakam,6-8
Anfernee Simons,6-3
KJ Simpson,6-2
Jericho Sims,6-10
Jalen Slawson,6-7
Javon Small,6-1
Marcus Smart,6-3
Dru Smith,6-2
Jalen Smith,6-8
Malachi Smith,6-4
Tolu Smith,6-11
Tyler Smith,6-9
Jabari Smith Jr.,6-11
Nick Smith Jr.,6-2
Jeremy Sochan,6-8
Thomas Sorber,6-9
Cam Spencer,6-3
Pat Spencer,6-2
Isaiah Stevens,5-11
Isaiah Stewart,6-8
Julian Strawther,6-6
Max Strus,6-5
Jalen Suggs,6-5
Jae'Sean Tate,6-4
Jayson Tatum,6-8
Garrett Temple,6-5
Dalen Terry,6-6
Adou Thiero,6-7
Amen Thompson,6-7
Ausar Thompson,6-7
Ethan Thompson,6-4
Klay Thompson,6-5
Matisse Thybulle,6-5
Xavier Tillman,6-8
Drew Timme,6-9
Nae'Qwan Tomlin,6-8
John Tonje,6-4
Nikola Topić,6-6
Obi Toppin,6-9
Karl-Anthony Towns,7-0
Nolan Traore,6-3
Gary Trent Jr.,6-5
Oscar Tshiebwe,6-8
Myles Turner,6-11
Jaylon Tyson,6-6
Jonas Valančiūnas,6-11
Fred VanVleet,6-0
Jarred Vanderbilt,6-8
Devin Vassell,6-5
Gabe Vincent,6-2
Tristan Vukcevic,7-0
Nikola Vučević,6-9
Dean Wade,6-9
Franz Wagner,6-10
Moritz Wagner,6-11
Jabari Walker,6-7
Jarace Walker,6-7
Cason Wallace,6-3
Keaton Wallace,6-3
Jordan Walsh,6-6
Ja'Kobe Walter,6-4
Kel'el Ware,7-0
P.J. Washington,6-7
TyTy Washington Jr.,6-3
Lindy Waters III,6-5
Trendon Watford,6-8
Jamir Watkins,6-6
Peyton Watson,6-8
Jaylen Wells,6-7
Victor Wembanyama,7-4
Blake Wesley,6-4
Russell Westbrook,6-4
Coby White,6-4
Derrick White,6-4
Cam Whitmore,6-6
Aaron Wiggins,6-5
Andrew Wiggins,6-6
Amari Williams,6-11
Brandon Williams,6-1
Cody Williams,6-8
Grant Williams,6-7
Jalen Williams,6-5
Jaylin Williams,6-9
Kenrich Williams,6-7
Mark Williams,7-1
Nate Williams,6-5
Patrick Williams,6-6
Ziaire Williams,6-9
Robert Williams III,6-9
Zion Williamson,6-6
Jalen Wilson,6-6
Danny Wolf,6-11
Guerschon Yabusele,6-7
Yang Hansen,7-1
Jahmir Young,6-0
Trae Young,6-2
Chris Youngblood,6-4
Rocco Zikarsky,7-3
Ivica Zubac,7-0
Tristan da Silva,6-8
