SG_UF;CD_MUNICIPIO;NM_MUNICIPIO
ES;56979;SĂO MATEUS
GO;92282;ITAGUARI
GO;94072;ITAGUARU
GO;93041;PROFESSOR JAMIL
GO;96237;TRĘS RANCHOS
MG;40150;AGUANIL
MG;40355;ALPERCATA
MG;40592;ANTÔNIO DIAS
MG;40916;ASTOLFO DUTRA
MG;41114;BARBACENA
MG;41173;BARROSO
MG;41270;BELO VALE
MG;41491;BOM JARDIM DE MINAS
MG;42650;CARANGOLA
MG;43451;CONCEIÇĂO DAS ALAGOAS
MG;43770;CORDISBURGO
MG;43915;CORONEL PACHECO
MG;44075;CRISTIANO OTONI
MG;44172;CURVELO
MG;44733;ENGENHEIRO CALDAS
MG;40185;ENTRE FOLHAS
MG;44814;ESMERALDAS
MG;44970;EUGENÓPOLIS
MG;45390;FRONTEIRA
MG;45454;GALILÉIA
MG;45730;GUAXUPÉ
MG;46094;ILICÍNEA
MG;46833;ITUIUTABA
MG;47210;JOANÉSIA
MG;48070;MARMELÓPOLIS
MG;48330;MESQUITA
MG;48615;MONTE CARMELO
MG;49638;PATROCÍNIO DO MURIAÉ
MG;50253;PIRAÚBA
MG;50318;PLANURA
MG;50393;POMPÉU
MG;50555;PRATA
MG;50750;QUELUZITO
MG;50911;RIBEIRĂO DAS NEVES
MG;51055;RIO MANSO
MG;51250;RODEIRO
MG;51756;SANTANA DO JACARÉ
MG;53538;SOBRÁLIA
MG;40746;SĂO JOĂO DO MANTENINHA
MG;52515;SĂO JOĂO DO ORIENTE
MG;52914;SĂO SEBASTIĂO DO OESTE
MG;53716;TEÓFILO OTONI
MG;53970;UBÁ
MG;54194;VAZANTE
MG;54410;VISCONDE DO RIO BRANCO
MG;54151;VÁRZEA DA PALMA
MT;90239;ARAGUAINHA
MT;98736;NOVA OLÍMPIA
PE;30015;FERNANDO DE NORONHA
PR;75574;FLORESTÓPOLIS
PR;77291;OURIZONA
PR;77879;PRESIDENTE CASTELO BRANCO
PR;78212;RIO BRANCO DO SUL
PR;78999;SAPOPEMA
PR;84719;SĂO JOSÉ DAS PALMEIRAS
PR;78956;SĂO SEBASTIĂO DA AMOREIRA
PR;79391;UNIFLOR
RJ;58238;CARMO
SP;63215;CASTILHO
SP;65510;ITAPEVI
SP;65633;ITAQUAQUECETUBA
SP;68691;PIQUEROBI
SP;61166;ROSANA
SP;61301;SUZANÁPOLIS
SP;71790;TARABAI
TO;73300;CARIRI DO TOCANTINS
TO;73407;LAJEADO
TO;92606;SANTA TEREZA DO TOCANTINS
